SpeciesBROAD	GroupName	LitterSz	Body_mass	Brain_mass	Colour_vision	Social_organization	Coenspecific_violence	Paternal_care	Female_Ranging_patterns	Infanticide	Mating_system	Gestation_length	Weaning_age	Weaning_prop	Seasonal_breeders	BodyMass_kg	BodyMassMale_kg	BodyMassFemale_kg	DielActivity	TrophicGuild	Locomotion	IUCN_ER	IUCN_Pop_Trend	Habitat	BrainSizeSpeciesMean	BrainSizeFemaleMean	Body.MassMaleMean	BodyMassFemaleMean	MassDimorphism	MeanGroupSize	AdultMales	AdultFemale	AdultSexRatio	InterbirthInterval_days	Gestation	WeaningAge_d	MaxLongevity_m	GR_MidRangeLat_dd	Precip_Mean_mm	Temp_Mean_degC	AET_Mean_mm	PET_Mean_mm	HomeRange_km2	DayLength_km	Territoriality	Fruit	Leaves	Fauna	CanineDimorphism	Feed	Move	Rest	Social	Mating.System	SocialSystem	NatalDispersal	StableGroups	Body.mass..g.	Endocranial.volume..cm3.	Neonatal.mass..g.	Offspring.per.litter	Interbirth.interval..days.	Gestation..days.	Lactation..days.	Age.of.female.at.first.reproduction..y.	Maximum.lifespan..y.	Maximum.possible.reproductive.success.under.optimal.conditions..rmax.	SocialMatingSystem	Monopolization	FemalesPerMaleInBreedingGroup	MalesPerBreedingGroup	SocialGroupSize	MaleBodyMass.SexSzeDimorphismDataset..in.g	FemaleBodyMass.SexSizeDimorphismDataset..in.g	SexualSizeDimorphism	MaleCanineHeight.in.mm	FemaleCanineHeight.in.mm	SexualCanineDimorphism	MaleBodyMass.CanineDataset..in.g	CombinedTestesMass.in.g	MaleBodyMass.TestesDataset..in.g	meanMaleBodyMass.in.g	HeadFlesh	HeadSkin	HeadHair	BodyFlesh	BodySkin	BodyHair	BodyPelageDichrom	GenitalFlesh	GenitalSkin	GenitalHair	SexualOrnamentDimorphism..ExcludingDichromatism.	SexualOrnamentDimorphism	TotalOrnamentDimorphism	BasalMetabolicRate_ml_O2.h	RestingMetabolicRate_kcal.day	R_Ratio_MtoF_DLCBirths	R_Mean_LitterSize	R_MostCommon_LitterSize	R_Freq_MostCommon_LitterSize	R_Min_LitterSize	R_Max_LitterSize	R_Expected_Gestation_d	R_Pattern_Breeding	R_Peak_Breeding_Month	R_Peak_Birth_Month	R_Min_Dam_AgeAtConcep_y	R_Min_Sire_AgeAtConcep_y	R_Max_Dam_AgeAtConcep_y	R_Max_Sire_AgeAtConcep_y	M_Mean_All_AdultWeight_g	M_Min_All_AdultWeight_g	M_Max_All_AdultWeight_g	M_Mean_M_AdultWeight_g	M_Min_M_AdultWeight_g	M_Max_M_AdultWeight_g	M_Mean_F_AdultWeight_g	M_Min_F_AdultWeight_g	M_Max_F_AdultWeight_g	M_Mean_All_NeonateWeight_g	M_Min_All_NeonateWeight_g	M_Max_All_NeonateWeight_g	M_Mean_M_NeonateWeight_g	M_Min_M_NeonateWeight_g	M_Max_M_NeonateWeight_g	M_Mean_All_YngAdultWeight_g	M_Min_All_YngAdultWeight_g	M_Max_All_YngAdultWeight_g	M_Mean_M_YngAdultWeight_g	M_Min_M_YngAdultWeight_g	M_Max_M_YngAdultWeight_g	M_Mean_F_YngAdultWeight_g	M_Min_F_YngAdultWeight_g	M_Max_F_YngAdultWeight_g	L_Max_All_Age_y	L_Max_M_Age_y	L_Max_F_Age_y	L_Median_All_Longevity_gt30d_y	L_Median_M_Longevity_gt30d_y	L_Median_F_Longevity_gt30d_y	L_Pct_All_InfMort_lt30d	L_Pct_M_InfMort_lt30d	L_Pct_F_InfMort_lt30d	L_Pct_ND_InfMort_lt30d	Dorsal.Luminance	Ventral.Luminance	Actual.evapotranspiraton..mm.	Positional.behaviour	BodyMassForOrganMass_g	FatFreeBodyMass_g	BrainMass_g	Heart_Mass_g	LungsMass_g	KidneysMass_g	LiverMass_g	DigestiveTractMass_g	StomachMass_g	IntestineMass_g	SpleenMass_g	VisceralOrganMass_g	AdiposeDepots_g	SemicircularCanalRadiusOfCurvatureMean_mm	AxialEyeDiameter_mm	VisualAcuity_cycles.deg	AgilityScore	BV	Medulla	Cerebellum	Mesencephalon	Diencephalon	Telencephalon	MOB	AOB	Piriform.Lobe	Septum	Striatum	Striatum..incl..NAcc.	Schizocortex	Hippocampus	Neocortex..GM.WM.	Neocortex..GM.	Epithalamus	Thalamus	Hypothalamus	Subthalamus	Pallidum	Subthalamic.Nucleus	Optic.Tract	V1..GM.	LGN	Paleocortex	Amygdala	Vmo	VII	XII	Granular.Insula	Dysgranular.Insula	Agranular.Insula	Insula..GM.	Albumin	Albumin.Globulin.Ratio	Albumin.protein.Ratio	Alkaline.Phosphatase	Amylase	Basophils..	Basophils.Abs	Bilirubin.Total	Blood.Urea.Nitrogen	Body.Weight	Bun.Creat.Ratio	Calcium	Chloride	Cholesterol	CPK	Creatinine	Eosinophils..	Eosinophils.Abs	GGT	Globulin	Glucose	Hematocrit	Hemoglobin	Lactic.Dehydrogenase	Lipase	Lymphocytes..	Lymphocytes.Abs	Magnesium	Mean.Corpuscular.Hemoglobin	Mean.Corpuscular.Volume	Mean.Corpusuclar.Hemoglobin.C	Monocytes..	Monocytes.Abs	Neutrophil.Band..	Neutrophil.Band.Abs	Neutrophil.Seg..	Neutrophil.Seg.Abs	Phosphorus	Platelets	Potassium	Red.Blood.Cells	Ser.Glut.Oxaloacetic.Transamin.	Ser.Glut.Pyruvic.Transaminase	Sodium	Total.Protein	Triglycerides	Uric.Acid	White.Blood.Cells	Total.T4	Carbon.Dioxide	Bicarbonate	Bilirubin.Direct	Diastolic.Blood.Pressure	Glycosylated.Hemoglobin	High.Density.Lipoprotein	Iron	Low.Density.Lipoprotein	Rectal.Body.Temperature	Systolic.Blood.Pressure	Fibrinogen	Total.Solids	Axillary.Body.Temperature	Bone.Thickness	Fingernail.Growth.Rate
Cercopithecus_roloway	OWM_Cercopithecidae_Cercopithecus_roloway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.55	5.2	3.9	D	Omnivore	AR	5	1	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cercopithecus_sclateri	OWM_Cercopithecidae_Cercopithecus_sclateri	NA	NA	NA	Trichromatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.25	4	2.5	D	Frugivore	AR	3	1	Forest/Shrubland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cercopithecus_wolfi	OWM_Cercopithecidae_Cercopithecus_wolfi	NA	NA	NA	NA	Unimale/Multimale	NA	Absent	Overlap	NA	Polygynous	NA	NA	NA	NA	3.34	3.8	2.88	D	Folivore_frugivore	AR	1	1	Forest/Savanna/Wetlands	61.45	57.2	3910	2870	1.362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.883	NA	NA	NA	NA	NA	Polygyny	Sexbiased	Yes	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	Polygynous	Yes	NA	NA	12	3910	2870	1.362	18.06	9.59	1.883	3910	5.35	5380	4400	0	0	0	0	0	0	0	0	1	0	1	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.4	66.5	1431	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cheirogaleus_andysabini	STR_Cheirogaleidae_Cheirogaleus_andysabini	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cheirogaleus_crossleyi	STR_Cheirogaleidae_Cheirogaleus_crossleyi	NA	NA	NA	Dichromatic	Solitary	NA	Absent	NA	NA	Monogamous	70	45	0.39	NA	0.29	NA	NA	N	Omnivore	AR	NA	1	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cheirogaleus_lavasoensis	STR_Cheirogaleidae_Cheirogaleus_lavasoensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cheirogaleus_major	STR_Cheirogaleidae_Cheirogaleus_major	2.26	5.991464547	1.759580571	Dichromatic	Solitary	4.55	Absent	NA	Low	Monogamous	71	70	0.50	Yes	0.505	0.574	0.443	N	Folivore_frugivore	AR	3	1	Forest	5.81	5.63	438	362	1.210	1	1	1	NA	NA	65	47.14	180	-18.76	1676.3	20.3	1320.2	1592.7	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spatial Polygyny	Solitary	Bisexual	No	400	5.6	18.1	2.25	365	70	70	1	13.4	0.754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.8	60	1320	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	12.6	NA	4	6441.17	381.62	947	241	489	4313	158	04.04	332	58.9	327	327	149	347	2938	NA	4.83	271	101	33.8	31.6	2.27	18	433	21.5	233	99.4	1.04	1.56	1.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cheirogaleus_medius	STR_Cheirogaleidae_Cheirogaleus_medius	2.04	4.941642423	0.955511445	Monochromatic	Pair	4.17	Absent	Discrete	Low	Polygynous/Monogamous	62	61	0.50	Yes	0.176	0.164	0.156	N	Folivore_frugivore	AR	3	1	Forest	2.6	2.6	140	139	1.007	1	1	1	NA	365	61	60.65	231.6	-19.03	850.8	24	899.7	1625.8	0.02	NA	NA	NA	NA	NA	0.942	NA	NA	NA	NA	Monogamy	Solitary	Bisexual	No	140	2.5	11.8	2.14	365	62	45	2	23.3	0.5	Polygynous	Yes	NA	1	5.5	283	282	1	3.75	3.98	0.942	280	1.12	220	261	0	0	0	0	0	0	0	0	0	0	0	0	0	195	22.7	1.266666667	2.177570093	2	0.401869159	1	5	62	Seasonal	5	7	0.794520548	1.797260274	14.84109589	16.10410959	237.6045745	144.0666667	332.02	232.724744	144.0666667	332.02	244.7291272	191.8604651	323.5	13.2125	8	21	13.3	8	21	237.2103628	128.3333333	337	235.3128049	128.3333333	334	238.7730576	159	337	29.62191781	29.62191781	25.17534247	15.07369697	13.41140086	16.83893689	0.291845494	0.157894737	0.233333333	1	23	58	900	0	231	216.91	2.83	0.93	1.75	1	6.31	3.78	1.31	2.47	0.32	14.09	14.09	1.3	10.3	2.8	4	2931.05	202.38	437	145	235	1941	102	2.66	198	32.5	145	145	65.3	174	1154	890	NA	NA	NA	NA	NA	NA	NA	199	10.8	135	63.2	0.6	1.04	1.14	NA	NA	NA	NA	5.18	2.62	NA	58.1666666666667	126.5	0	0	0.25	17.8333333333333	0.240081251232613	49.175	8.7	96.3333333333333	128.333333333333	NA	0.4	0.666666666666667	50.3333333333333	12	2.35	100.5	46.4	16.075	649	NA	61.3333333333333	4378.66666666667	NA	16.6	48	34.675	1.5	87	0	0	37	2246.33333333333	5.94	NA	5.48	9.48	73.3333333333333	153.333333333333	142	7.46666666666667	NA	NA	6.73333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cheirogaleus_minusculus	STR_Cheirogaleidae_Cheirogaleus_minusculus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	NA	0.302	N	NA	AR	NA	1	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cheirogaleus_shethi	STR_Cheirogaleidae_Cheirogaleus_shethi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cheirogaleus_sibreei	STR_Cheirogaleidae_Cheirogaleus_sibreei	NA	NA	NA	NA	Solitary	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	NA	NA	N	NA	AR	5	1	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cheirogaleus_thomasi	STR_Cheirogaleidae_Cheirogaleus_thomasi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
